Establishment,Host,Neighbourhood,Latitude,Longitude,Room Type,Price,Duration,Total Reviews
SINGLE ROOM IN A PENTHOUSE APARTMEN,S,Barnet,51.5979,-0.24327,Private room,24,90,1
Room with a garden,Deb,Camden,51.55237,-0.19954,Private room,45,2,2
Best Part of Town -Home from Home!,Lina,Westminster,51.51812,-0.1977,Entire home/apt,125,3,102
Apartment with two large double bedrooms,Domenico,Newham,51.53774,0.01859,Private room,160,4,0
ONE BEDROOM IN NEW DEVELOPMENT,S,Kensington and Chelsea,51.48063,-0.18175,Entire home/apt,85,6,0
Single Room in zone 1,"Let'S Dance, Put On Your Red Shoes",Camden,51.52958,-0.14344,Private room,38,2,387
Cosy Double studio in Zone 2 Hammersmith (6),Boris,Hammersmith and Fulham,51.4934,-0.22929,Entire home/apt,78,2,67
Beautiful Small Studio Hammersmith,Boris,Hammersmith and Fulham,51.49462,-0.22923,Hotel room,77,1,93
Fantastic Period Flat Notting Hill,Sarah,Westminster,51.51757,-0.19195,Entire home/apt,121,2,121
"Modern 2 Bed 2 Bath, UK, Croydon",Beth,Croydon,51.37487,-0.11565,Entire home/apt,56,14,2
Amazing 2 bed 2 bath flat in central London,Simon,Kensington and Chelsea,51.49506,-0.1563,Entire home/apt,253,28,92
Cosy Double studio in Zone 2 Hammersmith (1),Boris,Hammersmith and Fulham,51.49547,-0.22942,Entire home/apt,78,5,45
1 twinroom,Trudi,Croydon,51.39915,-0.10447,Private room,35,1,0
Beautiful huge double room in artist’s garden flat,Jacinta,Tower Hamlets,51.52315,-0.05755,Private room,43,2,100
ONE BEDROOM APARTMENT WITH BALCONY IN CANARY WHARF,Prateek,Tower Hamlets,51.50143,-0.02024,Entire home/apt,194,4,13
Cosy Double studio in Zone 2 Hammersmith (4),Boris,Hammersmith and Fulham,51.49547,-0.22864,Entire home/apt,57,3,35
Gorgeous London garden apartment,Mike,Southwark,51.48642,-0.09557,Entire home/apt,85,14,192
Lovely room in cool Brixton,Kate,Lambeth,51.45932,-0.11874,Private room,80,2,0
Cosy Double studio in Zone 2 Hammersmith (3),Boris,Hammersmith and Fulham,51.4937,-0.22914,Private room,58,1,62
Modern studio flat in London fields,Ben,Hackney,51.54092,-0.05905,Entire home/apt,76,7,36
NICE FAMILY HOME opposite NATURAL LANDSCAPED PARK,Laura D,Barnet,51.60268,-0.26268,Private room,25,5,29
Spacious single room in quiet flat,Alda,Haringey,51.59031,-0.09408,Private room,43,3,12
Fabulous Hackney flat  Victoria Park London fields,Michael,Hackney,51.54096,-0.0487,Entire home/apt,140,5,0
Dbl en suite @ Oval tube Sth London,Matthew,Lambeth,51.48128,-0.11593,Private room,48,2,157
Bright + Spacious In Balham,Anna,Lambeth,51.44563,-0.14195,Private room,45,3,14
Two bedroom luxury Flat in Brixton with city view!,Emi,Lambeth,51.46161,-0.11023,Entire home/apt,120,3,69
Cosy Double studio in Zone 2 Hammersmith (2),Boris,Hammersmith and Fulham,51.49349,-0.22766,Entire home/apt,99,1,78
Well-priced 1 bed for short-term let,Charlotte,Brent,51.5397,-0.20817,Entire home/apt,82,2,123
A Fab Family house in Kensington,Maria,Hammersmith and Fulham,51.49245,-0.20381,Entire home/apt,414,3,131
Peaceful Room Near Epping Forest,Nicola,Waltham Forest,51.57322,0.01045,Private room,60,1,2
Bright single room in family home.,Julia,Southwark,51.46478,-0.08007,Private room,34,3,56
Double Room 2 Miles from Wimbledon in Morden SM4,Danielle,Merton,51.39648,-0.2117,Private room,35,1,145
"2 twin beds in dble rm, Catford, UK",Thesla,Lewisham,51.43722,-0.01975,Private room,60,2,0
Chelsea Studio by Kings Road London,Nicholas,Kensington and Chelsea,51.49096,-0.16183,Entire home/apt,99,2,13
Pretty Self Contained Coach House,Melanie,Wandsworth,51.45173,-0.15556,Entire home/apt,100,2,135
5min from the Big Ben,Esther,Lambeth,51.49297,-0.1216,Entire home/apt,95,20,90
DOUBLE ROOM,Trudi,Croydon,51.39911,-0.10453,Private room,35,1,0
Bright spacious 2 bed in Islington,Aslak,Islington,51.53917,-0.10221,Entire home/apt,133,6,10
Luxury Self contained Studio Apt.,Lucy,Richmond upon Thames,51.40644,-0.33563,Entire home/apt,170,3,9
Hampstead Home from home  in great area.,Liz,Camden,51.54796,-0.16462,Entire home/apt,110,14,8
LUx inCENTRAL LONDON NEAR OXFORD ST,Fernando,Camden,51.52139,-0.13932,Entire home/apt,400,4,213
Stylish Central London Flat with pool and terrace,Kris,Tower Hamlets,51.51061,-0.06646,Entire home/apt,128,5,193
"Lush room in Crystal Palace, London",Petra,Bromley,51.41565,-0.07714,Private room,40,2,62
"Clerkenwell penthouse, huge terrace",Carol,Islington,51.52707,-0.10923,Private room,102,4,55
LONDON DETACHED HOUSE*ElecGates etc,Richard,Havering,51.58388,0.15463,Entire home/apt,190,5,0
Ideal for Urban Explorers *5 star Designer home,Antonia Clare,Southwark,51.48579,-0.1077,Private room,52,2,366
"Cosy Double room London, River View",Murielle,Haringey,51.57765,-0.06197,Private room,32,2,87
Maisonette in Central London Zone 1,Elisabetta,Lambeth,51.49168,-0.1157,Private room,60,2,427
Spacious 2bd 2bth Victorian home central London,Cass,Westminster,51.51853,-0.18351,Entire home/apt,151,10,36
"Lovely, spacious  garden apartment.",Amy  Gabriella,Hammersmith and Fulham,51.48606,-0.19752,Entire home/apt,135,3,109
Gorgeous Spacious Bloomsbury Studio,Andrea,Camden,51.52479,-0.11648,Entire home/apt,129,3,177
ChiqDoube Room in PrivateAppartment,Paullus,Westminster,51.5107,-0.18997,Private room,150,30,0
Wimbledon Luxury Home Twin Room,Angela,Wandsworth,51.44614,-0.20566,Private room,90,2,38
Friendly flat share,Pearline,Greenwich,51.48055,0.07261,Shared room,50,4,0
1 bed apt 30 mins from Windsor castle,Dominic,Hounslow,51.44742,-0.43175,Entire home/apt,55,2,2
London Holiday Flat Let-Islington,Alina,Islington,51.56792,-0.11125,Entire home/apt,130,1,100
Beautiful Kensington 2-Bedroom Luxury Apartment,Dominic,Kensington and Chelsea,51.49875,-0.19263,Entire home/apt,237,3,46
"Central, Luxury & Large Ensuite Canary Wharf",Daniel,Tower Hamlets,51.49764,-0.01365,Private room,47,2,127
Sunny Notting Hill flat & terrace,Chil,Kensington and Chelsea,51.51109,-0.19842,Entire home/apt,107,2,375
Luxury Private Double Ensuite Room,Richard,Hammersmith and Fulham,51.48821,-0.22452,Private room,65,14,5
Islington Flat for Rent,Natalie,Islington,51.54113,-0.09881,Entire home/apt,90,16,39
"MODERN SELF CONTAINED ARCHITECT FLATLET, ISLINGTON",Andrea,Islington,51.55104,-0.08324,Entire home/apt,85,2,232
Twin room,Deirdre,Wandsworth,51.44201,-0.18739,Private room,42,1,181
2 bed West Kensington apartment,Sarah,Hammersmith and Fulham,51.49993,-0.21707,Entire home/apt,100,3,30
2 Bed 2 Bath Wimbledon Apartment,William,Merton,51.4175,-0.19643,Entire home/apt,97,90,25
LUXURY DOUBLE ROOM CLAPHAM(ZONE 2),Gabriele,Lambeth,51.46672,-0.12717,Private room,45,2,41
Relaxing Stay in Royal Greenwich. SE3,William,Greenwich,51.47618,0.01442,Private room,41,4,139
Shown on T.V! Notting Hill Oasis,Darshi Rowan And Tara,Westminster,51.51881,-0.1965,Entire home/apt,300,7,15
Lovely east London ground floor apartment,Carl,Tower Hamlets,51.52764,-0.05293,Entire home/apt,75,2,42
London Homestay 5* Host,Teresa,Lewisham,51.44809,-0.04135,Entire home/apt,120,3,114
Double room in lovely modern flat,Lucy,Hackney,51.57175,-0.08365,Private room,100,1,0
Lovely Victorian Room Streatham,Keith,Lambeth,51.42996,-0.12161,Private room,35,2,33
Large bedroom with 1 double bed,Sue & Jon,Richmond upon Thames,51.46652,-0.23675,Private room,30,2,91
Gorgeous Victorian Flat LONDON,Alicja,Haringey,51.57271,-0.13948,Entire home/apt,80,8,34
Single room; friendly house; East London,Cryn,Newham,51.53443,0.02706,Private room,27,1,114
Roof Garden Oasis 10 Minutes From  Kings Cross,Francesca,Islington,51.54873,-0.10569,Entire home/apt,118,7,73
En-suite Room for rent,Katarina,Hammersmith and Fulham,51.50134,-0.22922,Private room,350,1,0
DBL rm near Trendy Shoreth\Brick La,Mireya,Tower Hamlets,51.52819,-0.0561,Private room,55,1,4
Hackney Central - East London Charming House for 6,Angus Brown And Nelly,Hackney,51.54713,-0.05522,Entire home/apt,250,2,27
South Bank Bijou Studio Flat,Anne,Lambeth,51.50551,-0.10952,Private room,95,5,340
"Newly upgraded! 2 private rooms, bath, kitchenette",Rachel,Tower Hamlets,51.5347,-0.03215,Private room,68,3,64
Double Room Ensuite Garden Room,Richard,Hammersmith and Fulham,51.4866,-0.22458,Private room,81,3,0
"Lovely large room, Bethnal Green",Susie,Tower Hamlets,51.52874,-0.05396,Private room,55,3,65
A Luxury Studio Suite in Clerkenwell,Simon,Islington,51.52478,-0.10484,Entire home/apt,126,4,473
JESSIE the narrowboat in Little Venice,Meg,Westminster,51.52055,-0.18317,Entire home/apt,181,2,529
DOUBLE RM N.LONDON (unavail to check in 24-29 Dec),,Enfield,51.61137,-0.11888,Private room,25,5,28
A stylish original Victorian home in West London,Olga,Hammersmith and Fulham,51.50155,-0.233,Entire home/apt,119,4,64
Penthouse Flat w/Roof Terrace near Little Venice,Monica,Westminster,51.52359,-0.19587,Entire home/apt,99,2,5
Double bedroom in cottage Twickenham (sleeps 1-2),Andy,Richmond upon Thames,51.44777,-0.33962,Private room,1000,2,0
1 bedroom apartment close to centre.,Yevgeniy,Lambeth,51.49148,-0.11151,Entire home/apt,90,3,125
I Bedroom Apartment Tower of London,Anthony,City of London,51.51099,-0.07862,Entire home/apt,130,5,213
"Limehouse London, Spacious Property",Denise,Tower Hamlets,51.51556,-0.04032,Private room,75,1,53
Beautiful 1 bed flat with terrace,Andrew,Islington,51.5558,-0.12928,Entire home/apt,84,3,106
"Stylish & Bright, 1 Bed, Shoreditch",Clare,Hackney,51.52851,-0.08985,Entire home/apt,140,3,88
Entire London Town House Next 2 Tube & Wimbledon,Yasmin,Merton,51.40066,-0.19158,Entire home/apt,180,1,4
"Large room, London Fields, Hackney",Tania,Hackney,51.54017,-0.05457,Private room,35,1,23
This one's got a gym and sauna!,Dejan,Newham,51.53263,-0.0118,Entire home/apt,80,5,43
"West London-W7, Hanwell (Area Ealing) Room",Nina,Ealing,51.50426,-0.33444,Private room,30,7,99
Spacious London garden apartment,Jamie,Haringey,51.58409,-0.14625,Entire home/apt,99,4,6
great location absolutely central,Sylvia,Westminster,51.4897,-0.13911,Entire home/apt,83,2,1
"West London,loft ensuite, 5min2tube",Eilinn,Hammersmith and Fulham,51.48974,-0.22208,Private room,70,4,161
A double Room 5mins from King's College Hospital,Trevor,Lambeth,51.46788,-0.09993,Private room,40,21,86
Charming Flat in Notting Hill,Nathan,Kensington and Chelsea,51.51735,-0.21076,Entire home/apt,50,1,183
"Feel at Home in a Charming, Bright, Central Apartment in Notting Hill",Alexandra,Kensington and Chelsea,51.51755,-0.20159,Entire home/apt,134,4,153
Stunning 2 Bed Apartment in Elephant & Castle,Michele,Southwark,51.49185,-0.08823,Entire home/apt,111,2,10
"Bright, open plan, East London flat",Fabio,Hackney,51.53593,-0.06396,Entire home/apt,120,6,0
STUNNING APT IN ST JAMES,S,Westminster,51.50612,-0.14029,Entire home/apt,1300,14,0
A Double Room with  River Views,Marie,Tower Hamlets,51.49686,-0.02627,Private room,60,3,136
Modern Bright Room in Kensington +private bathroom,Anthony,Kensington and Chelsea,51.49577,-0.1954,Private room,85,3,152
Charming central 2 bedroom flat,Anna,Westminster,51.51789,-0.158,Entire home/apt,204,3,17
Nice double bedroom in NW London,Elinor,Camden,51.5471,-0.17981,Entire home/apt,229,21,0
Large Bedroom with EnSuite Bathroom,Erika,Westminster,51.52636,-0.18801,Private room,67,1,187
"SUNNY 2bed @Old Street, free parking",Tanja,Hackney,51.52948,-0.08591,Entire home/apt,165,5,167
Newly refurbished 2-bed apartment,Tariq,Brent,51.53753,-0.24013,Entire home/apt,150,3,15
Lovely 1 bed Apartment Islington on Tube Stop,Larissa,Islington,51.55191,-0.11497,Entire home/apt,45,2,7
Stunning 2 bedroom Fulham Riverside Flat Free WIFI,Maz,Hammersmith and Fulham,51.47375,-0.18152,Entire home/apt,120,4,30
Quiet Double Room - Good for walks,Heather,Richmond upon Thames,51.43855,-0.32191,Private room,55,1,183
Modern+own bath near Tate/Southbank,Kyri,Southwark,51.49882,-0.10293,Private room,69,3,151
Beautiful Modern Bright Spacious 1-Bed Apartment,Emily,Brent,51.54209,-0.202,Entire home/apt,69,2,42
FAB CHISWICK ROOM,Vee,Hounslow,51.49094,-0.27008,Private room,85,2,5
"Light filled 2-bedroom with gardens, London Fields",Sara,Hackney,51.53715,-0.06418,Entire home/apt,85,3,18
Penthouse Living in East London,Ryan,Barking and Dagenham,51.5343,0.08178,Private room,49,2,32
London Whitechapel Room with WIFI,Radhika And Lorenzo,Tower Hamlets,51.51462,-0.05969,Private room,35,10,223
Cosy 1 Bed Apt-London's Best Location-Garden Views,Patrick,Kensington and Chelsea,51.49519,-0.19242,Entire home/apt,107,1,341
LOVELY & COZY ROOM WITH KITCHENETTE,Catia,Croydon,51.3843,-0.12723,Private room,18,3,47
£100 for entire one-bed garden flat in Islington!,Debbie,Islington,51.53561,-0.11338,Entire home/apt,100,90,183
Ensuite Room with double bed London,Jocelyn,Croydon,51.3676,-0.12209,Private room,35,2,67
PENDA'S MEAD HOUSE,Joan,Hackney,51.55239,-0.0346,Private room,263,2,0
Spacious 1 bedrm flat ideal location  FAST WiFI,Ksenia,Westminster,51.51566,-0.17467,Entire home/apt,94,7,12
"Desirable Queens Park walk to Nottinghill, zone 2",Sarah,Brent,51.52945,-0.19746,Entire home/apt,67,21,15
"Luxury designer 2 bed flat, heart of Notting Hill",James,Kensington and Chelsea,51.51146,-0.2021,Entire home/apt,550,5,23
Double Room Hammersmith/Fulham Border By River,Debbie,Hammersmith and Fulham,51.47928,-0.22061,Private room,61,1,232
Shoreditch Loft,Mr,Hackney,51.52853,-0.07728,Entire home/apt,105,3,137
room for travellers,Dominique,Haringey,51.59006,-0.09753,Private room,60,1,0
Bright sunny appt on garden square,Andrew,Kensington and Chelsea,51.48829,-0.18905,Entire home/apt,95,28,65
SALE-5 min to Oxford St/Regent's Pk,Louise,Westminster,51.51862,-0.13957,Entire home/apt,159,2,29
Bright room on park near city 7,Roland,Lewisham,51.48793,-0.04204,Private room,30,1,22
Spacious loft conversion - Hackney,Kiki,Hackney,51.5368,-0.07753,Entire home/apt,90,7,4
2 bed-apartment in Chelsea,Ungelie,Hammersmith and Fulham,51.47118,-0.1844,Private room,75,1,3
Cool room - Dalston -,Janina,Islington,51.54818,-0.08428,Private room,42,5,34
Self Contained Stylish Loft Studio in Clerkenwell,Simon,Islington,51.52153,-0.1004,Entire home/apt,123,4,390
Cozy room in a two bed stunning flat,Kobi,Southwark,51.48668,-0.10513,Private room,110,3,244
PREMIER PALACE LODGE - 3 BED APPT SLEEPS 4,Dani,Haringey,51.60484,-0.12463,Entire home/apt,140,3,91
Five minute walk to South Bank,Donovan,Lambeth,51.50363,-0.10926,Private room,41,1,500
Lift & balcony | 3 tube lines | St Paul's nearby,The Team At The London Agent,Islington,51.52022,-0.10577,Entire home/apt,266,3,62
Beautiful one bed ground floor flat,Katherine,Hammersmith and Fulham,51.49609,-0.22782,Entire home/apt,120,6,121
"Notting Hill, next to Portobello Rd",Chris,Kensington and Chelsea,51.5191,-0.2053,Entire home/apt,150,4,17
Modern Notting Hill Apartment/flat,Benjamin,Kensington and Chelsea,51.51156,-0.19579,Entire home/apt,170,4,189
"Kilburn Tube, Single Person, Quiet. Light",Elaine,Brent,51.54491,-0.20988,Private room,55,3,94
"Stylish flat in Hackney, London",Zoë,Hackney,51.57542,-0.06921,Entire home/apt,75,3,4
Double bedroom in North London,Dean,Barnet,51.60531,-0.14814,Private room,33,120,1
"Bright Double room, LONDON. Zone 3",Clare,Wandsworth,51.42865,-0.15725,Private room,29,3,106
Private room in London & cultural Islington,Iki,Islington,51.56094,-0.10893,Private room,35,2,6
Beautiful house in trendy E. London,Madeleine,Hackney,51.55314,-0.04586,Entire home/apt,123,5,22
Listed Georgian Cottage single room,Helen,Islington,51.54233,-0.09941,Private room,50,2,140
ART Gallery Flats x 2 - with AMAZING VIEWS!!!,Claire,Hackney,51.52932,-0.08094,Entire home/apt,586,1,287
Art residency and gallery flat with stunning views,Claire,Hackney,51.53261,-0.08277,Entire home/apt,137,1,125
YOUR IDEAL ROOM - IN ZONE 2 !!!,Miss Salem,Islington,51.55012,-0.11695,Private room,70,1,20
lovely room in shared house.,Nina,Barnet,51.63021,-0.13472,Private room,56,1,0
Spacious double in OldStreet/City,Liz,Hackney,51.53152,-0.09268,Private room,40,1,20
Gorgeous house for summer in London,Vanessa,Islington,51.55468,-0.13524,Entire home/apt,300,7,2
Georgian heaven,Rachel,Southwark,51.47615,-0.06092,Private room,60,2,1
Spacious flat good transport links,Maurice,Lambeth,51.4295,-0.12573,Private room,57,1,0
Homely room in leafy Ealing.,Tina,Ealing,51.52339,-0.31421,Private room,32,1,377
45 sqm flat in the heart of Hoxton,Otto,Hackney,51.52999,-0.08276,Entire home/apt,40,21,0
"SPACIOUS DOUBLE ROOM, Gay friendly",Gurpal,Newham,51.5333,0.04779,Private room,51,1,0
Single Room - Clapham / Battersea,Henrietta,Wandsworth,51.47022,-0.17008,Private room,35,1,170
2 Bedroom London East End Apartment,Steven,Newham,51.51854,0.02291,Entire home/apt,100,3,36
Huge Four Bedroom Apartment,Sue,Lewisham,51.44306,-0.01948,Entire home/apt,264,3,36
One Bedroom Apartment,Sue,Lewisham,51.44284,-0.01997,Entire home/apt,88,3,4
Two Bedroom Newly Refurbished Apartment,Sue,Lewisham,51.44359,-0.02275,Entire home/apt,125,3,26
Refurbished Two Bedroom Apartment,Sue,Lewisham,51.44355,-0.02309,Entire home/apt,128,3,17
Newly refurbished 2 bedroom apartment,Sue,Lewisham,51.44333,-0.02307,Entire home/apt,146,3,17
Two Bedrooms Garden Maisonette,Sue,Lewisham,51.44204,-0.02149,Entire home/apt,118,3,5
One Bedroom Garden Apartment,Sue,Lewisham,51.44353,-0.02328,Entire home/apt,110,4,3
Four Bedroom Garden Apartment,Sue,Lewisham,51.44151,-0.02195,Entire home/apt,210,3,12
Refurbished Three Bedroom Apartment with pool,Sue,Lewisham,51.44346,-0.02122,Entire home/apt,157,3,22
Also five minutes to South Bank,Donovan,Lambeth,51.50287,-0.10937,Private room,38,1,446
Cosy room 1 friendly home Ealing W7,Kate,Ealing,51.50669,-0.33013,Private room,31,2,44
London Greenwich Docklands Single,Kath,Greenwich,51.47174,0.05861,Private room,46,1,0
Patio Apartment in London (Twickenham),Emma,Richmond upon Thames,51.44311,-0.33245,Entire home/apt,71,4,55
Heathrow BNB - Home Away From Home!,Claudia,Hillingdon,51.53097,-0.39891,Private room,30,1,7
Outstanding location- NOTTING HILL Flat WithGARDEN,Marie,Kensington and Chelsea,51.5208,-0.20577,Entire home/apt,136,14,38
Charming double bedroom zone 1,Liliana / Daniel,Islington,51.54248,-0.09712,Private room,80,5,43
★Bright Top floor Sunset Views Modern Chelsea apt★,Maria,Hammersmith and Fulham,51.47223,-0.18466,Entire home/apt,140,3,49
"Large 1 Bed apartment (A), wi-fi, sleeps 4",Eddy,Merton,51.42229,-0.178,Entire home/apt,95,5,19
"Great location, direct links to London Bridge!",D.C.,Lewisham,51.43951,-0.05175,Entire home/apt,108,4,77
Bright Clean Double Room-Chingford,Tosi,Waltham Forest,51.61782,-0.02283,Private room,50,2,17
"Large 2Bedroom  Apartment (B), wi-fi, sleeps 6",Eddy,Merton,51.42328,-0.17789,Entire home/apt,140,4,9
2 Bedroom  Cottage (E) with garden London,Eddy,Hounslow,51.49254,-0.30935,Entire home/apt,124,3,11
Cute 1 bdr flat quiet road central,Aya,Westminster,51.51488,-0.19016,Entire home/apt,89,5,6
"1 double-bed modern bright flat, SE1 (Borough Mkt)",Maria And Rino,Southwark,51.49777,-0.09097,Entire home/apt,149,7,23
Georgian Aparment in Bloomsbury,Lucy,Camden,51.52361,-0.11591,Entire home/apt,110,14,77
Room in friendly house share,Jamie,Hackney,51.55918,-0.07416,Private room,45,14,0
double room for female only,Hoda,Brent,51.58619,-0.25304,Private room,50,1,0
Spacious luxury 2 bedroom apartment,Nina,Ealing,51.5067,-0.24775,Entire home/apt,86,3,20
COSY STUDIO-FLAT WITH A GREAT  VIEW,Luca,Tower Hamlets,51.52851,-0.07426,Entire home/apt,90,5,41
Notting Hill church stay in Heaven!,Tania,Kensington and Chelsea,51.51464,-0.20004,Entire home/apt,250,7,4
APARTMENT IN NORTH WEST LONDON,Nora,Harrow,51.57982,-0.37539,Entire home/apt,70,3,100
Apartment in the heart of Bayswater,Chung Han,Westminster,51.51209,-0.18921,Entire home/apt,250,1,25
Gorgeous Modern 3 Bed Flat in Willesden Green,Ragnhild,Brent,51.53741,-0.23727,Entire home/apt,102,2,0
Executive House for Olypmic 2012,Portia,Newham,51.53667,0.00562,Entire home/apt,572,14,0
Architect designed Camden canalside townhouse,Neema,Camden,51.54039,-0.14282,Entire home/apt,275,2,17
FREE WIFI Double room in SW London,Matt,Lambeth,51.429,-0.12764,Private room,29,2,1
Compact living cosy studio flat in London,Oliver,Barnet,51.59375,-0.25767,Entire home/apt,50,7,110
Home from Home in the heart of London,Milena,Hammersmith and Fulham,51.48641,-0.21277,Private room,120,2,218
A people person awaits you here!,Gill,Waltham Forest,51.57537,0.00536,Private room,34,1,47
Self Contained Bedroom,Ernest,Ealing,51.52214,-0.34366,Private room,86,1,0
bedroom to rent in SW17 - London,Carolina,Merton,51.41877,-0.16772,Private room,45,1,0
Entire Apartment short/long stay,Matt,Lambeth,51.42892,-0.12915,Entire home/apt,135,7,0
Cheap London Wembley apartment !!!,Yvonne,Brent,51.55764,-0.30173,Entire home/apt,59,1,173
london is waiting for you,Nagla,Hillingdon,51.56049,-0.40791,Private room,57,1,0
Stylish 3 Bed 2 Bath Apartment +Gdn,Rita,Haringey,51.58358,-0.1177,Entire home/apt,200,3,57
Single Room for the Olympic Games!,Christopher,Tower Hamlets,51.51806,-0.01719,Private room,55,30,0
Large cosy modern London house,Isabel,Lewisham,51.45398,-0.02118,Entire home/apt,100,4,0
Luxury Studio  in Clerkenwell,Simon,Islington,51.52264,-0.10323,Entire home/apt,130,4,336
"Central London Hideaway in the trees, SE1",Ed,Southwark,51.49608,-0.09713,Entire home/apt,70,15,15
Spacious Double Room in East London,Mary,Barking and Dagenham,51.54072,0.15246,Private room,41,4,3
Amazing view 2bed Zone1 central,Pm,Southwark,51.49739,-0.10146,Entire home/apt,132,5,218
Central London luxury apartment,Sam,Westminster,51.51592,-0.16413,Entire home/apt,100,60,19
"Double room no 1 near Brunel, Uxbridge, Heathrow",Rubina,Hillingdon,51.52344,-0.46178,Private room,33,1,101
Spacious family-friendly Hackney home with garden,Eliza,Hackney,51.55216,-0.03871,Entire home/apt,160,2,39
Room to rent in Turnpike Lan,Kevin,Haringey,51.5873,-0.09953,Private room,50,1,0
"London, Ace Family Friendly House, Hackney, Zone 2",Catherine,Hackney,51.56099,-0.0774,Entire home/apt,190,3,22
Stylish Georgian Townhouse - Zone 1,Maria,Lambeth,51.49324,-0.11058,Entire home/apt,275,3,175
A Modern Double Room in Greenwich.,Robert And Antonio,Greenwich,51.49927,0.10729,Private room,34,3,249
Big peaceful room 5mins walk from King's Hospital,Trevor,Lambeth,51.46934,-0.10136,Private room,40,4,20
LUXURIOUS  APART.30 MIN LONDON,Doreen &  Nichola,Merton,51.41779,-0.15163,Entire home/apt,500,2,78
Bed & Brekfast for the Olympics,Paolo,Newham,51.54174,0.006,Private room,100,1,0
Spacious Central London Apartment by Hoxton Square,Pippa,Hackney,51.52704,-0.08129,Entire home/apt,155,21,86
Pretty Home Kensal Green NW10 1 bed,Alex,Brent,51.53347,-0.23292,Entire home/apt,89,2,10
"North London(double private room)
Zone 3",Talat And Nalan,Haringey,51.60134,-0.08688,Private room,26,1,301
Comfy Family Home in London,Lara,Hackney,51.55896,-0.08297,Entire home/apt,97,7,7
"Room in Artistic house, nr Olympics",Roger,Newham,51.52626,0.02904,Private room,32,2,6
Stylish 2 bedroom London flat,Sally,Wandsworth,51.47565,-0.15073,Entire home/apt,170,2,66
Double Room nr Oval Vauxhall Tubes,Graeme,Lambeth,51.48383,-0.11655,Private room,50,3,389
Double Room by Camden Market,Gideon,Camden,51.54289,-0.14541,Private room,74,1,38
safe and spacious room in comfy family home,Mirjam,Waltham Forest,51.61607,-0.02982,Private room,29,2,93
Hyde Park Flat,Marie-Louise,Westminster,51.51106,-0.16939,Entire home/apt,140,7,26
Central London flat for Olympics,Apprameya,Kensington and Chelsea,51.49113,-0.19482,Entire home/apt,200,7,0
Hotel-style room in Camden Town,Toni,Camden,51.5385,-0.14719,Private room,75,2,266
Fantastic location Double room,Neried,Kensington and Chelsea,51.49897,-0.20395,Private room,69,2,10
